bohr_id,X,Y,latitude,longitude,dataset
Allmenhausen 10/1960,4415490.0,5675848.4,51.21131312719488,10.789091486257721,SVZ
Allmenhausen 11/1960,4407839.3,5679498.9,51.242933739851516,10.678695491316025,SVZ
Allmenhausen 32/1968,4410119.8,5677194.8,51.22259239315652,10.711922644183717,SVZ
Allmenhausen 33/1968,4410449.1,5677385.9,51.22436141351333,10.716587331403922,SVZ
Allmenhausen 34H/1969,4410942.4,5677743.0,51.227647581216075,10.723558229321837,SVZ
Allmenhausen 35/1969,4410185.4,5677862.9,51.22860642736688,10.712694008960622,SVZ
Altengottern 1/1958,4399547.42,5671479.76,51.16947646719559,10.562233772670034,SVZ
Altengottern 3/1987,4399370.1,5671898.8,51.173210694287164,10.559582065437358,SVZ
Bad Colberg 1/1974,4414720.8,5571710.1,50.27528127594411,10.802192845347053,SVZ
Ballstedt 1/1963,4446653.0,5658621.0,51.0602375694551,11.237554481983828,SVZ
Behringen 10/1964,4400240.6,5652723.6,51.0010558690689,10.577319220646846,SVZ
Behringen 11/1964,4397909.3,5653419.5,51.00690034961996,10.543923065017186,SVZ
Behringen 12/1964,4399141.2,5654773.4,51.01928376943379,10.561092732179109,SVZ
Behringen 13/1964,4402205.8,5652925.7,51.003209293522694,10.605252162852052,SVZ
Behringen 2/1963,4396802.5,5653897.8,51.01100084973586,10.528023087475805,SVZ
Behringen 3/1963,4400040.3,5653971.1,51.01223123332057,10.574123161219276,SVZ
Behringen 4/1963,4396273.6,5655048.5,51.0212457369844,10.520160436353605,SVZ
Behringen 5/1963,4398273.4,5655676.9,51.0272497267955,10.548475955218764,SVZ
Behringen 8/1963,4401188.2,5653492.0,51.008124302078656,10.590605249018735,SVZ
Behringen 9/1964,4397216.5,5656020.8,51.0301520016205,10.533318565398977,SVZ
Berka 1/1939,4425540.0,5691350.0,51.35202263429819,10.92965501285224,SVZ
Birkenfelde 1/1961,4362011.3,5691689.39,51.343201090640726,10.0180518039953,SVZ
Buttelstedt 1/1963,4458782.5,5660101.7,51.074545824332255,11.41038943421083,SVZ
Buttelstedt 2/1963,4453936.2,5659434.6,51.06818109354326,11.34133038127529,SVZ
Buttelstedt 3/1974,4456224.0,5662381.6,51.09484844295994,11.373609758747902,SVZ
Buttstädt 2/1964,4458982.2,5664557.3,51.11460816490556,11.412732265077933,SVZ
Buttstädt 4/1973,4455920.2,5666309.1,51.1301260949311,11.36879326466229,SVZ
Buttstädt 5/1974,4461195.2,5666374.6,51.13109673625472,11.444138052920447,SVZ
Buttstädt 6/1974,4457356.2,5667469.7,51.14066650939279,11.389168492804949,SVZ
Buttstädt 7/1974,4455375.6,5668458.9,51.1494064920357,11.36074742884541,SVZ
Creuzburg 1/1966,4379809.96,5657988.62,51.04445727674119,10.284646292110253,SVZ
Creuzburg 2/1967,4382608.59,5657654.69,51.042035452587264,10.324643081462849,SVZ
Deicheroda 1/1963,4360277.06,5627655.67,50.76754159297606,10.017889337556923,SVZ
Elende 12/1977,4407533.8,5701710.0,51.442471420843034,10.668553750796969,SVZ
Ettersberg 4/1962,4448150.3,5654874.5,51.02670107173805,11.259446552279176,SVZ
Ettersberg 5/1962,4447764.8,5653848.1,51.01744080838894,11.254100154410317,SVZ
Ettersberg 6/1962,4447272.2,5652635.4,51.006496005963406,11.247257123455354,SVZ
Ettersberg 7/1963,4455209.6,5653473.4,51.014701237936684,11.36023350113995,SVZ
Gotha 2/1963,4409458.0,5642593.4,50.911543411575686,10.711112997670803,SVZ
Griefstedt T1/1964,4440032.9,5677432.2,51.22865229427683,11.140002834090595,SVZ
Großbrembach 3/1973,4455446.6,5664238.1,51.11147503632264,11.362284133669705,SVZ
Günthersleben 1/1964,4412860.3,5643371.3,50.91905792611628,10.759290969249285,SVZ
Hachelbich 1/1959,4428869.12,5690723.56,51.346819380967666,10.977559717575133,SVZ
Hainich-Eigenrieden 1/1961,4382091.27,5676845.77,51.21435704196429,10.310993831826757,SVZ
Hainich-Eigenrieden 2/1961,4380897.62,5678133.15,51.225675914939714,10.293490966458362,SVZ
Hainich-Eigenrieden 4/1962,4379049.79,5678751.93,51.230846850874826,10.266842576458883,SVZ
Hainleite 1/1963,4425463.9,5689057.9,51.33141409386792,10.929042702404807,SVZ
Haussömmern 1/1970,4419570.6,5670916.6,51.16758149402229,10.848579350705576,SVZ
Hohenwart 3/1967,4364949.16,5627334.92,50.765765897072804,10.084195135744096,SVZ
Holzsußra 2/1970,4407898.0,5685198.2,51.294157460838406,10.678067908175626,SVZ
Holzthaleben 2/1969,4402868.7,5689303.1,51.330207391705045,10.604869689418775,SVZ
Holzthaleben 3/1970,4403351.9,5690008.8,51.33663091755623,10.61160891860422,SVZ
Holzthaleben 4/1970,4404306.4,5690367.0,51.340011040266404,10.625205322709165,SVZ
Holzthaleben 5/1971,4406226.6,5691376.4,51.34940128743277,10.652487724627672,SVZ
Jena Z 103/1963,4458846.6,5656519.4,51.04235164667549,11.411711628603518,SVZ
Keula 3/1962,4397984.3,5687087.6,51.309445116924834,10.535447109644238,SVZ
Keula 4/1961,4396420.6,5688058.6,51.31788750361824,10.51274758496436,SVZ
Kirchheilingen 002/1960,4410582.3,5674918.8,51.202212225639585,10.719108542856388,SVZ
Kirchheilingen 010/1960,4407153.9,5675860.4,51.210126729006205,10.669825429162236,SVZ
Kirchheilingen 015/1960,4412088.6,5672293.1,51.17885039813905,10.741297664421193,SVZ
Kirchheilingen 021/1960,4408170.9,5674603.6,51.19899730560243,10.684696576391522,SVZ
Kirchheilingen 023/1960,4411141.7,5673001.1,51.18506638423685,10.727584805203168,SVZ
Kirchheilingen 035/1961,4413674.7,5672559.8,51.181488747327734,10.763910261459863,SVZ
Kirchheilingen 060/1968,4410409.8,5673305.5,51.18768759314445,10.717043590586114,SVZ
